latitude,longitude
40.71495,-73.96079
40.67321,-73.91821
40.79675,-73.93634
40.68702,-73.94917
40.70267,-73.92716
40.68879,-73.91635
40.69049,-73.93212
40.68849,-73.94224
40.69934,-73.77035
40.69396,-73.75638
40.7375,-73.88446
40.72361,-73.98693
40.77364,-73.95511
40.73717,-73.86495
40.69687,-73.93219
40.63222,-73.95436
40.62787,-74.00814
40.81527,-73.94288
40.68762,-73.92304
40.68505,-73.9379
40.70975,-73.73963
40.80581,-73.94614
40.67148,-73.92505
40.75545,-73.99338
40.80559,-73.95632
40.68873,-73.94394
40.58618,-73.81674
40.80652,-73.94709
40.72365,-73.97504
40.6418,-73.93255
40.67887,-74.00785
40.67397,-73.97733
40.80082,-73.94738
40.686,-73.91567
40.8284,-73.93931
40.79573,-73.9361
40.66513,-73.91682
40.81005,-73.93566
40.67276814863932,-73.77867654197716
40.74846,-73.98808
40.74784,-73.98834
40.710979570506495,-73.99209848402974
40.83869,-73.94061
40.80127,-73.95868
40.62817,-74.07965
40.85137,-73.93206
40.75405,-73.99237
40.68275,-73.83897
40.70617,-74.01486
40.69836,-73.93113
40.67194,-73.79513
40.82794,-73.94829
40.80898,-73.93804
40.86781,-73.92412
40.68288,-73.90945
40.67035,-73.92611
40.67174,-73.97464
40.7289,-73.98243
40.75576,-73.85847
40.81264,-73.94392
40.82625,-73.94097
40.67375,-73.9313
40.74628,-73.98862
40.70455,-73.94358
40.66076,-73.92994
40.67862,-73.79618
40.68779,-73.86484
40.63188,-73.906
40.63006,-74.13708
40.682037,-73.796814
40.65278,-73.95744
40.73594,-73.93319
40.68926,-73.93107
40.69002,-73.9342
40.84491,-73.93846
40.635296,-73.907608
40.66821,-73.89567
40.8366813659668,-73.83421325683594
40.68275,-73.92338
40.66928,-73.89383
40.68355,-73.95401
40.68915,-73.91919
40.84323,-73.93887
40.81767,-73.8899
40.67743,-73.9203
40.80109,-73.95323
40.5973,-73.96166
40.68213,-73.91069
40.73764,-74.0041
40.68428,-73.93173
40.66656,-73.94764
40.68651,-73.94395
40.78721,-73.97
40.70594,-73.80345
40.80625,-73.92289
40.63984,-73.97482
40.8015,-73.93711
40.76026,-73.88488
40.86299,-73.92182
40.66344,-73.93149
40.8791,-73.86336
40.692,-73.95784
40.73845,-73.86475
40.87807,-73.84993
40.73774,-73.90887
40.79713,-73.96145
40.83756,-73.86904
40.81037,-73.94459
40.6363,-73.95254
40.8224,-73.9542
40.67381,-73.90063
40.69614,-73.91173
40.82429,-73.9271
40.87063,-73.8983
40.67139,-73.87767
40.79904,-73.9458
40.80796,-73.9402
40.71271,-73.99104
40.68884,-73.93059
40.68998,-73.9307
40.69049,-73.93005
40.88635,-73.90974
40.68886,-73.92871
40.65118,-73.96076
40.80754,-73.94473
40.75545,-73.8643
40.59997,-73.9563
40.76676,-73.91276
40.69543,-73.82596
40.75022,-73.99585
40.80056,-73.91306
40.64712,-73.9466
40.66074,-73.95144
40.66776,-73.9588
40.68489,-73.95341
40.82236,-73.9478
40.74957,-73.99637
40.76744,-73.92841
40.8827,-73.86281
40.71521,-73.99953
40.80827,-73.94002
40.68155,-73.92082
40.74745,-73.86926
40.67496,-73.87161
40.74816,-73.98874
40.82302,-73.94079
40.68144,-73.89083
40.74136,-73.98337
40.79933,-73.96245
40.82374,-73.95449
40.82443,-73.95502
40.704903,-74.006416
40.72438,-73.9907
40.81826,-73.94621
40.8316,-73.94091
40.69098,-73.91893
40.69189,-73.92391
40.78336,-73.97812
40.67561,-73.93766
40.72259,-73.99141
40.74691,-73.98683
40.61572,-74.0671
40.84524,-73.90798
40.79618,-73.93997
40.76151,-73.98951
40.76232,-73.98893
40.74772,-73.98682
40.62725,-74.08235
40.67462,-73.78348
40.67116,-73.93293
40.69424,-73.97312
40.73612,-73.91797
40.6873,-73.92881
40.85002,-73.93937
40.67726,-73.95135
40.69591,-73.94223
40.67207,-73.87848
40.66797,-73.76526
40.85287,-73.91624
40.75099,-73.998
40.69033,-73.96086
40.85816,-73.83468
40.80219,-73.95272
40.69024,-73.94671
40.70762,-73.92267
40.85974,-73.92671
40.67638,-73.94703
40.83371,-73.94437
40.69111,-73.91141
40.6884,-73.94714
40.6522,-73.96164
40.58752,-73.81549
40.66728,-73.89013
40.65104,-73.94982
40.84913,-73.93411
40.82398,-73.94346
40.72175,-73.98361
40.69035,-73.92879
40.65796,-73.95901
40.82576,-73.90124
40.81398,-73.88751
40.75403,-73.96951
40.69691,-73.97592
40.68506,-73.93867
40.66063,-73.89887
40.68129,-73.93004
40.66145,-73.89935
40.67391,-73.89394
40.80689,-73.94827
40.78976,-73.94703
40.66666,-73.78418
40.66794,-73.78502
40.6683,-73.78371
40.6685,-73.78308
40.75573,-73.99628
40.68421,-73.92135
40.64379,-73.94762
40.8245,-73.91501
40.70266,-73.92633
40.6453,-73.95114
40.66673,-73.78314
40.67134,-73.87862
40.6291,-73.90154
40.71478,-73.98548
40.69256,-73.94071
40.68562,-73.92219
40.80504,-73.95732
40.80303,-73.93888
40.66748,-73.92589
40.69613,-73.96585
40.74844,-73.99665
40.7156,-73.93961
40.67561,-73.93118
40.6769,-73.9454
40.68251,-73.96071
40.64458,-74.08005
40.71089,-73.78318
