latitude,longitude,crime_count
40.556816,-74.146092,1
40.55681895,-74.13602819,1
40.55681895536,-74.13602819156,1
40.556852,-74.170059,1
40.556901,-74.123748,1
40.556902,-74.152821,1
40.55690611,-74.14113497,1
40.556943,-74.134574,1
40.55695007,-74.13884986,1
40.55698925,-74.16900737,3
40.55701,-74.128862,1
40.557025,-74.198325,2
40.5570707,-74.15402601,1
40.55710554,-74.17384797,1
40.557211,-73.924434,1
40.557268,-74.172558,1
40.557293,-73.919636,1
40.557345,-74.118574,1
40.557346,-74.169086,1
40.55740744,-74.18097791,2
40.557409,-74.130489,1
40.557442,-73.911897,1
40.557559,-74.136869,1
40.557575,-74.127,1
40.557743,-74.142389,1
40.55776896,-74.11571142,1
40.557868,-74.172037,1
40.557871,-74.155367,2
40.557939,-74.153282,2
40.5580223,-74.13739458,1
40.558034,-74.198581,1
40.55813025,-74.17142505,1
40.558154,-74.175771,1
40.55818,-74.168294,2
40.55821325,-74.15954201,1
40.558243,-73.913729,1
40.55846293,-74.15762443,1
40.55847,-74.163258,2
40.558491,-74.135201,1
40.558527,-74.144419,1
40.558745,-74.148956,1
40.55877064,-74.10741785,1
40.558843,-74.106289,1
40.55888678,-74.19769494,1
40.55888678541,-74.19769494607,1
40.55888927512,-74.17769618315,1
40.558952,-73.920134,1
40.558975,-74.124079,1
40.558982,-74.162103,1
40.55901022948,-74.16468307023,1
40.559011,-74.155377,1
40.559032,-74.170212,1
40.559103,-74.127198,1
40.55912677,-74.16947343,1
40.55920029,-74.1717229,1
40.559211,-74.149788,1
40.55925169,-74.16852364,1
40.559266,-74.13539,1
40.559307,-74.115854,1
40.55938472,-74.15392338,2
40.55943927,-74.12480145,1
40.559513,-74.111857,2
40.559522,-74.143237,2
40.559559,-74.119831,2
40.55959854,-74.16014993,1
40.55960511,-74.1211597,1
40.559688,-74.169605,18
40.559752,-74.175828,1
40.559762,-74.119009,1
40.5599011,-74.17477297,1
40.559914,-74.181466,1
40.56005,-74.143867,1
40.560081,-74.111394,1
40.56011,-74.156023,1
40.560218,-74.185404,4
40.56024901,-74.1697354,1
40.560255,-74.180368,1
40.560289,-74.135002,2
40.56029027,-74.16592065,1
40.560331,-74.163748,15
40.560384,-74.166405,7
40.56039404,-74.12005266,2
40.56039404008,-74.12005266888,1
40.56042015,-74.1594897,1
40.560437,-74.150759,1
40.560463,-74.109089,1
40.56047551,-74.16688922,2
40.560496,-74.112893,1
40.56054783,-74.1544335,1
40.560588,-74.181809,4
40.560644,-74.118062,1
40.560668,-74.169823,8
40.560698,-74.102655,1
40.560706,-74.177099,1
40.56072742,-74.15761178,1
40.560784,-74.168358,6
40.560791,-73.91232,3
40.56079401,-74.11268635,1
40.56086509,-74.11842679,1
40.560867,-73.914395,2
40.56087,-74.109819,1
40.560896,-74.111266,1
40.560919,-74.19536,8
40.56095645,-74.15672338,1
40.560971,-74.102276,3
40.560979,-74.12868,1
40.56099554,-74.10863067,1
40.561052,-74.151273,1
40.56109154,-74.16982751,10
40.56109154022,-74.16982751544,1
40.56117999,-74.15583856,1
40.561208,-74.134389,2
40.561237,-74.118018,1
40.561306,-74.120365,3
40.561398,-74.107852,1
40.561402,-74.183438,4
40.56143937,-74.15482785,1
40.561455,-74.148852,1
40.56145866,-74.11226279,8
40.56145866996,-74.11226279842,1
40.56152221,-74.17185123,1
40.561524,-74.128062,2
40.561534,-74.121943,1
40.561542,-74.124357,1
40.561583,-74.160512,1
