date,year,hour,lat,lon,precinct,borough,offense_desc,law_category,premise_type
2023-08-09,2023,12.0,40.76491,-73.924657,114,QUEENS,HARRASSMENT 2,VIOLATION,STREET
2023-11-01,2023,9.0,40.787086,-73.973594,20,MANHATTAN,ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,STREET
2022-06-15,2022,9.0,40.73720309857,-73.98327259815,13,MANHATTAN,SEX CRIMES,MISDEMEANOR,TRANSIT - NYC SUBWAY
2023-12-02,2023,22.0,40.760148,-73.767422,111,QUEENS,ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,STREET
2023-08-01,2023,0.0,40.72652937698,-73.73486453789,105,QUEENS,SEX CRIMES,MISDEMEANOR,STREET
2023-08-15,2023,0.0,40.733875,-73.999371,6,MANHATTAN,GRAND LARCENY,FELONY,SMALL MERCHANT
2023-04-25,2023,15.0,40.779384,-73.840637,109,QUEENS,HARRASSMENT 2,VIOLATION,STREET
2023-08-26,2023,12.0,40.789982,-73.946882,23,MANHATTAN,HARRASSMENT 2,VIOLATION,STREET
2023-05-14,2023,12.0,40.595944,-73.907243,63,BROOKLYN,GRAND LARCENY,FELONY,STREET
2023-10-13,2023,12.0,40.595944,-73.907243,63,BROOKLYN,GRAND LARCENY,FELONY,PARK/PLAYGROUND
2023-08-24,2023,2.0,40.633692,-74.00964,68,BROOKLYN,FELONY ASSAULT,FELONY,STREET
2022-08-23,2022,18.0,40.838063,-73.9182,44,BRONX,ROBBERY,FELONY,STREET
2023-10-21,2023,15.0,40.736669,-73.98472,13,MANHATTAN,GRAND LARCENY,FELONY,DEPARTMENT STORE
2023-08-21,2023,21.0,40.60277623008,-73.75011736483,101,QUEENS,ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,STREET
2023-07-08,2023,12.0,40.756259,-73.990501,14,MANHATTAN,GRAND LARCENY,FELONY,CHAIN STORE
2023-08-19,2023,21.0,40.831113,-73.851562,43,BRONX,GRAND LARCENY,FELONY,STREET
2023-08-19,2023,0.0,40.646716,-73.953404,67,BROOKLYN,GRAND LARCENY,FELONY,STREET
2023-11-01,2023,0.0,40.727724,-73.716131,105,QUEENS,HARRASSMENT 2,VIOLATION,STREET
2023-10-05,2023,15.0,40.769538,-73.844831,109,QUEENS,GRAND LARCENY,FELONY,CHAIN STORE
2023-06-21,2023,0.0,40.58594334498,-73.81610192287,100,QUEENS,SEX CRIMES,FELONY,PARK/PLAYGROUND
2023-12-13,2023,16.0,40.713441,-73.944206,90,BROOKLYN,HARRASSMENT 2,VIOLATION,RESTAURANT/DINER
2023-06-17,2023,13.0,40.792783,-73.969437,24,MANHATTAN,ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,STREET
